"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,149491006,5
2020,149491074,6
2020,149494483,5
2020,149491356,5
2020,149491358,5
2020,149494755,8
2020,149494755,2
2020,149491468,5
2020,149491488,5
2020,149495455,5
2020,149495573,5
2020,149495604,4
2020,149495599,5
2020,149492057,4
2020,149492120,4
2020,149492152,4
2020,149495926,5
2020,149495996,5
2020,149492748,5
2020,149492747,5
2020,149496464,5
2020,149492751,5
2020,149492746,5
2020,149492884,5
2020,149497927,5
2020,149493763,5
2020,149493758,5
2020,149493807,5
2020,149490611,5
2020,149494021,5
2020,149494100,4
2020,149494289,5
2020,149491102,5
2020,149494421,4
2020,149494417,4
2020,149494467,5
2020,149491559,4
2020,149491614,5
2020,149491732,5
2020,149491748,5
2020,149495238,4
2020,149491871,5
2020,149495366,4
2020,149491919,5
2020,149495436,5
2020,149495437,5
2020,149495703,5
2020,149495699,5
2020,149496035,5
2020,149496195,5
2020,149496199,5
2020,149496197,4
2020,149496196,5
2020,149492531,5
2020,149494148,5
2020,149494290,5
2020,149491014,4
2020,149491020,5
2020,149494362,5
2020,149491105,5
2020,149491167,4
2020,149491217,5
2020,149491562,6
2020,149491562,1
2020,149491714,4
2020,149492163,5
2020,149492166,5
2020,149492191,1
2020,149495805,4
2020,149495998,5
2020,149496005,4
2020,149492426,5
2020,149496240,5
2020,149492771,5
2020,149492793,5
2020,149496523,5
2020,149496671,5
2020,149494159,4
2020,149490854,4
2020,149494196,5
2020,149490997,5
2020,149494305,4
2020,149491071,5
2020,149491104,5
2020,149494491,5
2020,149491185,5
2020,149491177,5
2020,149494490,5
2020,149494489,5
2020,149494772,5
2020,149494774,5
2020,149494769,5
2020,149491406,5
2020,149494775,5
2020,149494812,3
2020,149491444,5
2020,149495004,5
2020,149495240,5
2020,149495257,4
2020,149495312,5
2020,149492400,4
2020,149492425,4
2020,149492544,4
2020,149492547,5
2020,149496220,5
2020,149492577,5
2020,149492691,4
2020,149493741,4
2020,149493946,4
2020,149490772,5
2020,149494210,4
2020,149494224,4
2020,149491025,5
2020,149491241,4
2020,149494949,5
2020,149491563,5
2020,149494995,4
2020,149491725,5
2020,149495176,5
2020,149495207,5
2020,149491812,4
2020,149495411,4
2020,149495568,6
2020,149492054,5
2020,149495609,5
2020,149495830,5
2020,149495911,5
2020,149496057,5
2020,149492607,5
2020,149496295,5
2020,149496319,4
2020,149492774,4
2020,149492893,5
2020,149493730,5
2020,149490472,5
2020,149493830,5
2020,149494507,5
2020,149491439,4
2020,149491745,5
2020,149495339,5
2020,149495518,5
2020,149495603,4
2020,149495713,4
2020,149495791,4
2020,149492283,4
2020,149495949,4
2020,149492410,5
2020,149492415,5
2020,149496268,5
2020,149492605,5
2020,149492606,4
2020,149496463,2
2020,149496567,5
2020,149492871,4
2020,149496644,5
2020,149497908,5
2020,149493732,5
2020,149490925,5
2020,149494741,5
2020,149491491,4
2020,149494981,4
2020,149491775,5
2020,149495260,4
2020,149491859,4
2020,149491981,5
2020,149492132,5
2020,149492175,5
2020,149492734,4
2020,149492799,5
2020,149493734,5
2020,149490518,5
2020,149494231,5
2020,149490965,5
2020,149494329,5
2020,149491305,5
2020,149494925,5
2020,149494984,4
2020,149495070,5
2020,149495626,4
2020,149495857,4
2020,149492304,4
2020,149492317,5
2020,149492488,4
2020,149496146,6
2020,149496147,6
2020,149496142,4
2020,149493867,4
2020,149493926,5
2020,149490754,4
2020,149494141,5
2020,149490838,4
2020,149494680,5
2020,149494799,4
2020,149495021,5
2020,149495018,5
2020,149495133,4
2020,149495583,4
2020,149492059,4
2020,149495630,4
2020,149495602,4
2020,149492065,4
2020,149495613,4
2020,149495938,5
2020,149492557,5
2020,149492779,5
2020,149496608,4
2020,149496608,3
2020,149493876,5
2020,149494084,1
2020,143320166,4
2020,143315703,5
2020,143320908,5
2020,143321450,4
2020,143321591,5
2020,143321971,4
2020,143322357,5
2020,143322647,5
2020,143322674,4
2020,143322840,4
2020,143323515,4
2020,143328084,5
2020,143324314,4
2020,143324691,3
2020,143324722,5
2020,143324727,5
2020,143324768,4
2020,143324770,4
2020,143329066,5
2020,143329185,4
2020,143325506,4
2020,143329492,4
2020,143330118,5
2020,143327003,4
2020,143330505,4
2020,143330848,5
2020,143330849,5
2020,142771438,6
2020,142771432,6
2020,142772730,4
2020,142778372,4
2020,142783190,4
2020,142783207,5
2020,142779672,5
2020,142780359,5
2020,142788486,5
2020,142788550,5
2020,142793771,4
2020,142794376,5
2020,142789333,4
2020,142795380,5
2020,142790302,5
2020,142795616,5
2020,142796399,4
2020,142796819,5
2020,142796916,5
2020,142791656,5
2020,142797616,4
2020,142792250,4
2020,142792297,5
2020,142792497,5
2020,142798312,5
2020,142798843,5
2020,142798932,5
2020,142799102,4
2020,142803788,4
2020,142804077,4
2020,142804206,5
2020,142799551,5
2020,142799619,4
2020,142800598,5
2020,142805654,4
2020,142801277,5
2020,142806931,6
2020,142807948,5
2020,142807953,4
2020,142812932,5
2020,142808161,5
2020,142813252,5
2020,142808558,5
2020,142813440,5
2020,142813719,5
2020,142814044,4
2020,142810253,5
2020,142810263,5
2020,142810327,5
2020,142810400,5
2020,142815734,4
2020,142815925,5
2020,142811117,5
2020,142811395,5
2020,142811388,5
2020,142811416,5
2020,142816474,4
2020,142816663,5
2020,142811827,5
2020,142812053,4
2020,142816991,5
2020,142812168,5
2020,142817141,4
2020,142817407,4
2020,142812535,5
2020,142812594,4
2020,142812857,5
2020,142817758,5
2020,142822960,4
2020,142823005,4
2020,142823379,5
2020,142818392,5
2020,142818430,4
2020,142823446,5
2020,142818581,5
2020,142818814,4
2020,142819058,5
2020,142824440,5
2020,142824441,5
2020,142819491,5
2020,142819876,5
2020,142820145,5
2020,142820237,5
2020,142825271,5
2020,142825287,4
2020,142820467,5
2020,142820897,4
2020,142826505,4
2020,142822007,4
2020,142822272,6
2020,142827437,4
2020,142822476,5
2020,142827631,5
2020,143954865,5
2020,143951800,4
2020,143952090,5
2020,143952285,5
2020,143952503,3
2020,143952609,5
2020,143958120,5
2020,143938078,5
2020,143935917,5
2020,143938824,5
2020,143938875,5
2020,143936815,4
2020,143940346,5
2020,143940344,5
2020,143940398,5
2020,143942906,4
2020,143943208,5
2020,143940844,5
2020,143943538,5
2020,143943539,5
2020,143941228,4
2020,143944043,5
2020,143944041,4
2020,143944447,5
2020,143942133,5
2020,143942670,4
2020,143945493,5
2020,143942733,4
2020,143946412,5
2020,143946635,3
2020,143946636,5
2020,143947344,5
2020,143953341,4
2020,143953374,5
2020,143953710,5
2020,143951372,5
2020,143951438,4
2020,143951506,4
2020,143954806,4
2020,143955431,4
2020,143952419,5
2020,143955631,4
2020,143955681,5
2020,143952456,5
2020,143958128,5
2020,143958208,5
2020,143958347,4
2020,145013412,5
2020,145008739,4
2020,145013792,4
2020,145009170,4
2020,145013959,4
2020,145014658,4
2020,145010373,5
2020,145010792,5
2020,145011703,5
2020,145011777,5
2020,145011899,4
2020,145012027,5
2020,145012341,4
2020,145012347,4
2020,145016809,5
2020,145018152,5
2020,145017048,5
2020,145018409,5
2020,145018517,4
2020,145018563,3
2020,145017550,4
2020,145017559,4
2020,145018684,6
2020,145018712,5
2020,145018708,5
2020,145018730,2
2020,145023091,5
2020,145023141,4
2020,145023149,5
2020,145019566,4
2020,145019572,5
2020,145023555,5
2020,145020727,4
2020,145021074,4
2020,145024753,3
2020,145024753,4
2020,145024813,4
2020,145024857,4
2020,145025058,5
2020,145021517,5
2020,145021824,4
2020,145021859,5
2020,145021921,4
2020,145025571,4
2020,145022085,4
2020,145022105,4
2020,145026447,4
2020,145026486,3
2020,145026491,6
2020,145028280,5
2020,145028775,4
2020,145028796,4
2020,145027020,5
2020,145028891,4
2020,145027034,4
2020,145027166,5
2020,145029299,5
2020,145029287,5
2020,145029285,5
2020,145029766,5
2020,145029900,5
2020,145029936,3
2020,145030266,5
2020,145030299,5
2020,145030517,4
2020,145030944,5
2020,145031248,5
2020,145031678,5
2020,145031676,5
2020,145035502,4
2020,145037148,4
2020,145037400,4
2020,147596505,4
2020,143315424,5
2020,143315502,4
2020,143315584,4
2020,143320271,5
2020,143320325,5
2020,143315722,4
2020,143322433,5
2020,143322648,5
2020,143317301,4
2020,143317325,5
2020,143323166,4
2020,143323371,4
2020,143323369,4
2020,143323599,5
2020,143328015,5
2020,143323712,5
2020,143323713,5
2020,143323695,5
2020,143328061,4
2020,143324019,4
2020,143328235,5
2020,143328264,5
2020,143328916,4
2020,143325062,5
2020,143325410,4
2020,143325489,4
2020,143325481,4
2020,143325511,5
2020,143325765,4
2020,143329450,4
2020,143329562,5
2020,143326293,5
2020,143326292,5
2020,143326709,5
2020,143330370,4
2020,143327314,5
2020,147596569,4
2020,147602150,4
2020,147602164,5
2020,147596876,4
2020,147596883,4
2020,147596881,5
2020,147596909,3
2020,147602421,5
2020,147602451,4
2020,147602451,2
2020,147597295,5
2020,147602669,4
2020,147602690,2
2020,147597409,5
2020,147597421,5
2020,147597453,4
2020,147597471,5
2020,147602853,5
2020,147597557,5
2020,147602947,4
2020,147602950,4
2020,147597682,5
2020,147597687,5
2020,147597694,5
2020,147597680,5
2020,147603100,5
2020,147597779,5
2020,147597817,3
2020,147603189,5
2020,147597820,5
2020,147597848,5
2020,147597847,5
2020,147597853,5
2020,147597855,5
2020,147597867,4
2020,147597870,4
2020,147603231,4
2020,147603245,5
2020,147603283,5
2020,147607946,5
2020,147607949,5
2020,147603287,5
2020,147607945,4
2020,147603285,5
2020,147607952,6
2020,147607952,3
2020,147607961,5
