"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,20,158179049,32371451
2020,12,161794589,33380771
2020,18,161794533,33383176
2020,20,161794720,33383222
2020,3,161790446,33380832
2020,20,161790646,33383295
2020,20,161795142,33383330
2020,20,161790819,33383347
2020,12,161795402,33380930
2020,20,161791017,33380932
2020,12,161795818,33380982
2020,18,161796010,33381011
2020,12,161796784,33381090
2020,18,161801660,33383598
2020,12,161801940,33381218
2020,12,161802019,33383668
2020,12,161797526,33383669
2020,12,161802032,33383675
2020,12,161797566,33383680
2020,18,161802170,33383709
2020,19,161802178,33381284
2020,12,161802206,33383717
2020,12,161797738,33383718
2020,3,161797888,33381313
2020,20,161798100,33383803
2020,20,158179043,32371448
2020,12,161798120,33381358
2020,20,161798128,33381362
2020,19,161798125,33381359
2020,20,161798126,33383811
2020,12,161802640,33381355
2020,12,161798284,33383853
2020,20,161798430,33381449
2020,12,161803014,33381458
2020,12,161803083,33381471
2020,12,161803092,33383918
2020,12,161803320,33383975
2020,2,161803427,33384001
2020,3,161803424,33383999
2020,12,161798864,33384013
2020,12,161799019,33381589
2020,12,161803682,33384062
2020,19,161803762,33384087
2020,12,161799192,33384093
2020,12,161803796,33384095
2020,12,161799247,33381661
2020,2,161803855,33381663
2020,12,161803875,33384117
2020,12,161803896,33384124
2020,12,161803944,33384150
2020,9,161803938,33384148
2020,12,161799380,33381696
2020,12,158077984,32356910
2020,20,158078006,32352912
2020,3,158075687,32352932
2020,12,158078217,32352972
2020,12,158078548,32357020
2020,2,158076107,32353043
2020,18,158078768,32353077
2020,12,158078893,32353106
2020,12,158078983,32357109
2020,12,158079053,32353134
2020,3,158075546,32352900
2020,2,158075664,32352920
2020,12,158078100,32352944
2020,12,158078177,32352959
2020,12,158078231,32352976
2020,12,158078297,32356972
2020,12,158075866,32352982
2020,12,158078440,32353009
2020,20,158078528,32353025
2020,12,158076079,32357016
2020,12,158078508,32353022
2020,18,158076095,32353032
2020,12,158076101,32353039
2020,12,158081192,32353062
2020,20,158081392,32357087
2020,19,158081432,32357100
2020,12,158081452,32357105
2020,12,158079219,32357176
2020,12,158079439,32353217
2020,12,158079742,32357274
2020,10,158079742,32353270
2020,12,158079760,32357272
2020,20,158079860,32357293
2020,6,158079891,32353310
2020,3,158079943,32353317
2020,18,158079961,32353323
2020,4,158079968,32357318
2020,18,158082522,32353335
2020,12,158080018,32353337
2020,18,158082547,32357331
2020,3,158080283,32353392
2020,12,158082730,32357382
2020,2,158082746,32357387
2020,20,158080439,32353431
2020,20,158082872,32353439
2020,9,158080479,32357419
2020,12,158080593,32357439
2020,12,158083070,32357448
2020,2,158080633,32357457
2020,18,158083137,32357469
2020,12,158083133,32353478
2020,12,158083142,32357471
2020,20,158083171,32353487
2020,19,158080698,32353492
2020,19,158080721,32357501
2020,12,158080749,32353505
2020,11,158083297,32353531
2020,18,158080930,32353550
2020,20,158083260,32357522
2020,20,158081153,32353579
2020,20,158086204,32357576
2020,9,158083651,32353598
2020,12,158086351,32353607
2020,18,158083693,32357606
2020,3,158083705,32353616
2020,12,158083724,32357615
2020,18,158083735,32353628
2020,18,158083747,32357620
2020,9,158083764,32353641
2020,18,158083766,32357631
2020,18,158086447,32353646
2020,20,158083791,32353650
2020,20,158083803,32357641
2020,18,158086520,32353672
2020,18,158086671,32353713
2020,12,158086749,32353740
2020,12,158086821,32353762
2020,12,158084178,32353773
2020,20,158086933,32353796
2020,20,158086961,32353811
