"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,12,130503119,1,1,15176128
2020,4,130503805,1,11,15176190
2020,17,130503805,1,11,15179218
2020,5,130503844,2,3,15176200
2020,5,130504178,0.04,1,15179280
2020,5,130508138,1,1,15179303
2020,2,130510139,1.5,1,15176365
2020,5,130510763,7,1,15179483
2020,8,130510763,2,9,15176483
2020,9,130510763,4,9,15176484
2020,8,130511108,2,9,15179526
2020,5,130511108,1,11,15176532
2020,5,130511366,1,1,15176580
2020,5,130514744,1,1,15179564
2020,12,130511619,1,11,15176602
2020,17,130515442,,,15179638
2020,7,130517096,2,1,15176859
2020,5,130517589,0.001,3,15179886
2020,5,130519683,2,3,15176984
2020,5,130518272,11.5,1,15177009
2020,5,130518590,79,1,15179993
2020,17,130521076,,,15177187
2020,12,130519534,1,11,15180198
2020,5,130524849,0.035,3,15177270
2020,5,130524958,0.001,1,15177287
2020,12,130525017,1,11,15177304
2020,5,130522071,1.4,1,15177339
2020,5,130506559,1,11,15176083
2020,5,130506558,8,1,15179123
2020,12,130503055,5,1,15176104
2020,5,130506671,0.5,1,15176120
2020,12,130506671,0.5,1,15176118
2020,2,130503097,1.05,1,15176116
2020,5,130503097,17.59,1,15176113
2020,11,130503097,1,11,15176115
2020,12,130506949,1,1,15176151
2020,5,130503791,1,11,15176191
2020,5,130503898,1,11,15179229
2020,5,130503912,8,1,15176217
2020,16,130507478,0.3,4,15179244
2020,5,130508531,17.25,1,15179344
2020,5,130508633,0.6,1,15179363
2020,12,130509419,2,1,15179520
2020,12,130509521,1,1,15179530
2020,12,130511607,3.6,1,15176600
2020,2,130512049,2,2,15176657
2020,5,130512070,1,11,15176666
2020,15,130512070,1,11,15176667
2020,3,130515454,1,11,15179647
2020,8,130515715,1,1,15179672
2020,4,130512602,0.001,1,15176725
2020,5,130516056,1.95,1,15176750
2020,17,130516071,,,15179715
2020,8,130513022,1,11,15176783
2020,5,130513560,0.1,3,15176830
2020,5,130517032,4,1,15179810
2020,2,130514535,1,1,15176953
2020,5,130514535,10,1,15179921
2020,17,130520725,,,15180035
2020,5,130520790,510.3,1,15180042
2020,12,130519546,0.141,3,15180201
2020,5,130525179,0.12,1,15177340
2020,12,130522525,1.55,1,15180370
2020,5,130522525,3,1,15180369
2020,5,130522552,9.2,1,15177404
2020,16,130522552,1,9,15180380
2020,5,130522801,1.4,1,15177458
2020,12,130522902,1,11,15177469
2020,5,130526656,1,3,15180509
2020,5,130502995,9.1,1,15179130
2020,8,130503920,12,9,15179235
2020,15,130503920,58,9,15176220
2020,5,130507546,1,11,15176243
2020,16,130507546,1,11,15179259
2020,5,130510133,0.2,1,15176363
2020,5,130510334,4.6,1,15176391
2020,15,130509066,3,9,15176465
2020,17,130509065,,,15179461
2020,5,130509066,72.002,4,15179462
2020,4,130516020,,,15176743
2020,8,130512867,1,11,15179735
2020,12,130517334,0.125,3,15176897
2020,5,130520783,1,1,15180041
2020,12,130519442,0.021,3,15177214
2020,12,130524925,1,11,15177281
2020,12,130522002,1,9,15177331
2020,12,130522401,1,1,15180353
2020,5,130522599,1,11,15180389
2020,11,130522752,0.001,3,15180424
2020,12,130522752,0.001,3,15180425
2020,5,130522752,0.001,3,15177448
2020,2,130505706,,,15179050
2020,12,130506670,1,1,15179156
2020,12,130503830,1,1,15176198
2020,5,130503947,12.8,1,15179246
2020,12,130507494,1,11,15176230
2020,16,130504031,1,11,15176246
2020,4,130504031,1,11,15176245
2020,5,130504043,1,1,15179262
2020,5,130508308,,,15179318
2020,5,130510596,1,11,15179448
2020,5,130510670,2.7,1,15176466
2020,12,130512332,8,1,15179673
2020,12,130512452,8,3,15176707
2020,5,130517370,22,1,15179854
2020,5,130518770,1,1,15180008
2020,5,130523655,7,9,15180512
2020,12,130502973,4,3,15179114
2020,8,130502973,10,9,15179116
2020,8,130503704,1,11,15176181
2020,12,130507343,1.007,1,15176189
2020,12,130507390,1,1,15176199
2020,5,130507404,1,11,15176204
2020,12,130507404,1,11,15176203
2020,2,130508184,,,15176291
2020,5,130508570,3,1,15176335
2020,5,130510316,1,11,15179394
2020,5,130515197,1,3,15176625
2020,12,130516242,1,1,15176776
2020,2,130513042,1,11,15179764
2020,12,130513042,1,11,15179763
2020,5,130517502,,,15179879
2020,5,130519869,34.04,1,15176996
2020,5,130519955,70.2,1,15179964
2020,4,130519057,1,9,15177114
2020,5,130519549,0.5,3,15180202
2020,5,130521892,0.001,1,15177301
2020,12,130525275,2,9,15180328
2020,5,130522343,0.001,1,15177382
2020,12,130523065,1,11,15182498
2020,8,130504535,,,15179300
2020,7,130511124,1,11,15179527
2020,5,130511124,1,11,15176536
2020,2,130511124,1,11,15176535
2020,1,130511445,2,1,15176588
2020,5,130511445,2,3,15176589
2020,18,130511445,,,15176590
2020,17,130516034,,,15179710
2020,12,130512703,1,11,15176751
2020,17,130516097,,,15179723
2020,5,130516105,5.1,1,15179725
2020,5,130513026,1,1,15176784
2020,5,130516946,0.999,3,15179804
2020,8,130517848,111,9,15176964
2020,5,130517848,22.9,4,15179929
2020,5,130517887,9,1,15176971
2020,5,130519417,0.001,1,15180184
2020,12,130524602,0.005,3,15180209
2020,5,130522256,1,3,15177366
2020,5,130525725,1,11,15180401
2020,14,130525725,1,11,15180400
2020,5,130525791,0.002,1,15180414
2020,12,130525886,0.5,1,15177459
2020,12,130526001,,,15182473
2020,5,130526012,,,15180449
2020,12,124392149,1,1,13830072
2020,5,124392308,1,11,13830087
2020,5,124387986,1,11,13833302
2020,12,124392413,4.6,1,13830109
2020,12,124392426,0.5,1,13830113
2020,5,124392671,3,1,13830152
2020,5,124384233,0.002,1,13826362
2020,5,124384306,2,3,13826378
2020,5,124392849,1,1,13830181
2020,5,124394675,0.02,3,13826418
2020,12,124388440,0.4,1,13830228
2020,4,124394991,0.8,1,13833387
2020,2,124394991,9,1,13826467
2020,11,124394991,0.6,1,13826466
2020,5,124395078,2,3,13826474
2020,5,124395116,0.3,1,13826478
2020,5,124393512,1,1,13830264
2020,12,124393575,0.44,1,13830271
2020,5,124395260,1,7,13833403
2020,5,124395260,28,1,13833404
2020,12,124395260,1,3,13826497
2020,16,124393663,1,1,13830287
2020,5,124395269,1,9,13826499
2020,12,124388666,1,11,13833409
2020,4,124395394,1,11,13833411
2020,12,124395394,1,9,13833412
2020,12,124395394,1,11,13833413
2020,5,124395438,1,11,13826521
2020,5,124393905,1,11,13830310
2020,5,124393988,3.2,1,13830322
2020,17,124393999,,,13833421
2020,12,124394002,1.5,1,13830326
2020,12,124394002,1,9,13830325
2020,5,124394011,2,1,13830328
2020,5,124394110,27.5,1,13826555
2020,12,124394110,18,1,13830334
2020,16,124394110,8,1,13830335
2020,5,124395681,2.08,1,13826561
2020,17,124388835,,,13833440
2020,12,124388846,3.5,1,13833442
2020,5,124388978,1.6,1,13826620
2020,13,124389232,1,11,13830438
2020,5,124389372,0.025,3,13833522
2020,5,124396572,0.321,1,13830453
2020,5,124396573,618,1,13830455
2020,12,124396573,67,9,13826687
2020,5,124389457,1,11,13826692
2020,8,124389457,1,11,13833530
2020,14,124400039,12,9,13826693
2020,4,124389498,3.1,1,13833534
2020,1,124389498,3,1,13830461
2020,2,124389498,0.7,1,13833533
2020,16,124400168,10,9,13830482
2020,12,124400213,1,11,13826715
2020,17,124400314,2,9,13830498
2020,16,124400314,2,9,13826721
2020,16,124396892,5,9,13826723
2020,17,124396892,1,9,13826724
2020,5,130505774,2,1,15179057
2020,12,130506133,136,1,15176043
2020,17,130506133,95,1,15179079
2020,5,130506596,2,1,15179135
2020,12,130506596,2,1,15179134
2020,5,130503484,1,10,15176154
2020,5,130503659,0.7,4,15176178
2020,5,130507456,1,11,15179233
2020,17,130507456,1,11,15176218
2020,4,130507456,1,11,15179232
2020,5,130507530,3.5,3,15179257
2020,12,130504380,0.001,1,15176271
2020,5,130509745,,,15179316
2020,12,130509745,,,15176306
2020,5,130510396,2,1,15176403
2020,17,130510711,,,15179470
2020,17,130509346,,,15176508
2020,5,130509367,1,11,15176517
2020,5,130509410,0.2,3,15179515
2020,15,130515181,1,9,15176620
2020,5,130512615,0.002,1,15176732
2020,5,130516031,1.6,1,15176746
2020,5,130517762,3.72,1,15176940
2020,12,130517820,0.6,1,15179922
2020,1,130514566,0.1,1,15179928
2020,5,130525837,2,1,15177454
2020,12,130525837,6.5,9,15180426
2020,5,130523539,1,3,15182545
2020,12,124392144,1,1,13830070
2020,5,124392153,1,1,13830074
2020,5,124392261,1,11,13830082
2020,1,124392315,0.2,1,13830088
2020,16,124392315,10,9,13830089
2020,5,124383963,24.93,1,13826302
2020,5,124392342,12,1,13830096
2020,12,124388064,0.005,1,13833309
2020,5,124392380,0.5,1,13830103
2020,13,124392380,0.2,1,13826312
2020,5,124392419,3.5,1,13830112
2020,2,124392449,,,13830117
2020,12,124392499,1,11,13830123
2020,5,124392563,3,1,13830132
2020,1,124384102,1,1,13826339
2020,12,124392580,2,1,13830136
2020,12,124392588,1,11,13830138
2020,5,124384128,1,11,13826343
2020,16,124384128,1,11,13826344
2020,5,124392597,1,11,13830141
2020,5,124392599,1,1,13830142
2020,5,124392599,1,9,13826347
2020,5,124384141,1,11,13826349
2020,12,124384169,0.001,3,13826352
2020,5,124384182,1,11,13830146
