"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,137629963,10,
2020,137647031,1,
2020,137642186,10,
2020,137647686,6,
2020,137647686,1,
2020,131309020,10,
2020,131309019,10,
2020,131328139,2,
2020,139626552,9,
2020,139627093,10,
2020,139629474,1,
2020,139630761,6,
2020,131308286,10,
2020,131308627,1,
2020,131308633,10,
2020,131308634,10,
2020,131308948,1,
2020,131309176,10,
2020,131302045,10,
2020,131324917,9,
2020,139622589,9,
2020,139625937,9,
2020,139625938,9,
2020,139625939,9,
2020,139622631,9,
2020,139622639,10,
2020,139626021,10,
2020,131308329,9,
2020,131308246,10,
2020,131309314,6,
2020,131302525,9,
2020,131310178,9,
2020,139625911,1,
2020,139622648,10,
2020,139622661,6,
2020,139622708,10,
2020,139622707,10,
2020,139626075,10,
2020,139626106,1,
2020,139626209,9,
2020,139626397,10,
2020,139626750,10,
2020,139628438,10,
2020,139626837,6,
2020,139628820,1,
2020,139627455,1,
2020,139633682,10,
2020,139633846,6,
2020,139634192,9,
2020,139626191,1,
2020,139622853,2,
2020,139622879,1,
2020,139626262,1,
2020,139626306,9,
2020,139626305,10,
2020,139626588,1,
2020,139626588,6,
2020,139626646,10,
2020,139628311,10,
2020,139626655,1,
2020,139628453,6,
2020,139626908,10,
2020,139627000,1,
2020,139627344,6,
2020,139629140,10,
2020,139627717,1,
2020,139627773,9,
2020,139627761,9,
2020,139629441,9,
2020,139627757,9,
2020,139627762,9,
2020,139627759,9,
2020,139627768,9,
2020,139627765,9,
2020,139627774,9,
2020,139629427,9,
2020,139629694,9,
2020,139629752,9,
2020,139629754,9,
2020,139629902,9,
2020,139630458,9,
2020,139630472,9,
2020,139630468,9,
2020,139630470,9,
2020,139630459,9,
2020,139630946,9,
2020,139631001,10,
2020,139631012,10,
2020,139634318,10,
2020,139631017,10,
2020,139631030,10,
2020,139631024,10,
2020,139631191,10,
2020,139622882,1,
2020,139626686,6,
2020,139628355,1,
2020,139628697,6,
2020,139630239,1,
2020,139633628,1,
2020,139633944,1,
2020,137648180,6,
2020,137647209,1,
2020,137647202,1,
2020,137648135,9,
2020,137648198,1,
2020,137648198,6,
2020,137642841,1,
2020,137642841,6,
2020,131312958,9,
2020,131328260,9,
2020,131324975,9,
2020,139626571,1,
2020,139626721,1,
2020,139627187,10,
2020,139627487,2,
2020,139633460,10,
2020,139633729,9,
2020,139630440,9,
2020,139630995,1,
2020,139630995,9,
2020,131308337,1,
2020,131308253,1,
2020,131301411,1,
2020,131301412,1,
2020,131301413,9,
2020,131308728,1,
2020,131308917,10,
2020,131308924,1,
2020,131309297,1,
2020,131314178,2,
2020,131324869,9,
2020,137628146,10,
2020,137628259,9,
2020,137628520,10,
2020,137629651,10,
2020,137635690,1,
2020,137630549,10,
2020,137630551,10,
2020,137630583,10,
2020,137630612,9,
2020,137630743,1,
2020,137636387,1,
2020,137632037,10,
2020,137637157,10,
2020,137632039,10,
2020,137637159,10,
2020,137632043,10,
2020,137637603,1,
2020,137642959,9,
2020,137638057,9,
2020,137642960,9,
2020,137643267,6,
2020,137643807,1,
2020,137645081,1,
2020,137640246,9,
2020,137640241,9,
2020,137647208,1,
2020,137641865,1,
2020,137647206,1,
2020,137642218,6,
2020,137647624,1,
2020,137647624,9,
2020,137648784,1,
2020,137649886,1,
2020,139626043,10,
2020,139626401,9,
2020,131301935,1,
2020,131320712,9,
2020,139628020,1,
2020,139628636,9,
2020,139626973,1,
2020,139629301,1,
2020,139633007,6,
2020,139633655,10,
2020,139633711,1,
2020,139634058,1,
2020,139630986,9,
2020,137628210,1,
2020,137633767,10,
2020,137628205,10,
2020,137633765,10,
2020,137628202,10,
2020,137633777,10,
2020,137628204,10,
2020,137628201,10,
2020,137629701,1,
2020,137635152,10,
2020,137630044,1,
2020,137630045,1,
2020,137635382,1,
2020,137630064,9,
2020,137630793,1,
2020,137630793,6,
2020,137631094,10,
2020,137643150,9,
2020,137644498,1,
2020,137649245,10,
2020,137653760,10,
2020,139627980,9,
2020,139626367,9,
2020,139627990,9,
2020,139628448,10,
2020,139626767,10,
2020,139626774,10,
2020,139628449,10,
2020,139627253,1,
2020,139627898,1,
2020,139633394,9,
2020,139630987,10,
2020,134762962,1,
2020,134763332,9,
2020,134763379,10,
2020,134763503,1,
2020,134763639,9,
2020,134763648,1,
2020,134763728,6,
2020,134761069,10,
2020,134763968,10,
2020,134763966,10,
2020,134761090,1,
2020,134764022,1,
2020,134764086,9,
2020,134764129,1,
2020,134764178,2,
2020,134764752,1,
2020,134764753,1,
2020,134764824,6,
2020,134764888,1,
2020,134764899,1,
2020,134764983,1,
2020,134765049,1,
2020,134765196,9,
2020,134763137,1,
2020,134761843,1,
2020,134762022,6,
2020,134764957,1,
2020,134762100,1,
2020,134765029,1,
2020,134762359,1,
2020,134762667,1,
2020,134765536,1,
2020,134765840,9,
2020,134766137,6,
2020,134768428,2,
2020,134757069,2,
2020,134767398,1,
2020,134770057,9,
2020,134767749,9,
2020,134770195,9,
2020,134770194,9,
2020,134770497,6,
2020,134777959,1,
2020,134763075,2,
2020,134763074,9,
2020,134763077,2,
2020,134760610,1,
2020,137628349,1,
2020,137628600,10,
2020,137629612,10,
2020,137635211,9,
2020,137629868,9,
2020,137635224,9,
2020,137629865,9,
2020,137629834,9,
2020,137629841,9,
2020,137635214,9,
2020,137628196,10,
2020,137636916,10,
2020,137637553,1,
2020,137643587,1,
2020,137638654,1,
2020,137645566,1,
2020,137641030,1,
2020,137642014,1,
2020,137647750,10,
2020,137634159,9,
2020,137628193,1,
2020,137628690,9,
2020,137634168,9,
2020,137628684,9,
2020,137629384,9,
2020,137630281,6,
2020,137637189,10,
2020,137637467,10,
2020,137642961,9,
2020,137644588,10,
2020,137639615,10,
2020,137644592,10,
2020,137639613,10,
2020,137644589,10,
2020,137644591,10,
2020,137639616,10,
2020,137649136,9,
2020,137649146,9,
2020,137649166,1,
2020,137636989,1,
2020,137631087,1,
2020,137636850,10,
2020,137632315,1,
2020,137632599,9,
2020,137643748,10,
2020,137641345,1,
2020,137646599,6,
2020,137641934,9,
2020,137641935,9,
2020,137647284,9,
2020,137642122,10,
2020,137648265,9,
2020,145012931,1,
2020,145008217,1,
2020,145013021,1,
2020,145008263,1,
2020,145008447,10,
2020,145008457,10,
2020,145008458,10,
2020,145008456,10,
2020,145008461,10,
2020,145008443,10,
2020,145008475,1,
2020,145008485,1,
2020,145013238,1,
2020,145013334,10,
2020,145013434,9,
2020,145008717,9,
2020,145013532,9,
2020,145008803,9,
2020,145008817,2,
2020,145008853,9,
2020,145008857,1,
2020,145013600,10,
2020,145008893,10,
2020,145013595,10,
2020,145013643,9,
2020,145013883,6,
2020,145009538,1,
2020,145014279,1,
2020,145010093,10,
2020,145010170,1,
2020,145014650,1,
2020,145014647,1,
2020,145010375,6,
2020,145014930,10,
2020,145011519,9,
2020,145015771,1,
2020,145015788,1,
2020,145011792,10,
2020,145011788,10,
2020,145011879,9,
2020,145015996,2,
2020,145016032,6,
2020,145016076,6,
2020,145012223,10,
2020,145016318,10,
2020,145012279,10,
2020,145016360,6,
2020,145016392,10,
2020,145012425,1,
2020,145016528,1,
2020,145016563,9,
2020,145016588,9,
2020,145012574,9,
2020,145012570,1,
2020,145016628,6,
2020,145016632,6,
2020,145012617,6,
2020,145016720,1,
2020,145017941,9,
2020,145017067,1,
2020,145018119,6,
2020,145017210,6,
2020,145017211,6,
2020,145018419,10,
2020,145017405,6,
2020,145017421,6,
2020,145018618,1,
2020,145017483,1,
2020,145017523,9,
2020,145017551,6,
2020,145018762,9,
2020,145019036,1,
2020,145022908,10,
2020,145022988,1,
2020,145023036,6,
2020,145019259,5,
2020,145023296,1,
2020,145023379,1,
2020,141119313,6,
2020,141123513,10,
2020,141123690,1,
2020,141123691,1,
2020,141123688,1,
2020,141124137,1,
2020,141124138,1,
2020,141128868,1,
2020,141129164,9,
2020,141133875,9,
2020,141135795,2,
2020,141138277,1,
2020,141142391,1,
2020,137634047,10,
2020,137634147,10,
2020,137628463,9,
2020,137635311,1,
2020,137635309,1,
2020,137636927,10,
2020,137631815,6,
2020,137631815,1,
2020,137637209,10,
2020,137637208,10,
2020,137632140,1,
2020,137637315,1,
2020,137632222,1,
2020,137643144,1,
2020,137638547,10,
2020,137645108,9,
2020,137640190,1,
2020,137645284,9,
2020,137645604,9,
2020,137646176,6,
2020,137641028,6,
2020,137646664,1,
2020,137647255,6,
2020,137642286,10,
2020,137648333,1,
2020,137648548,1,
2020,137648960,9,
2020,137648958,9,
2020,137653460,1,
2020,137628191,6,
2020,137628250,1,
2020,137628294,1,
2020,137635022,9,
2020,137630300,9,
2020,137636251,6,
2020,137636364,9,
2020,137636365,9,
2020,137643689,1,
2020,137643691,1,
2020,137645121,6,
2020,137646058,1,
2020,137646689,2,
2020,137641886,10,
2020,137647337,6,
2020,137642321,9,
2020,137647783,10,
2020,137653667,10,
2020,137634305,1,
2020,137628849,1,
2020,137635624,1,
2020,137630648,6,
2020,137649195,1,
2020,137649291,6,
2020,137634671,6,
2020,137629629,2,
2020,137630704,1,
2020,137631858,6,
2020,137637190,1,
2020,137642999,1,
2020,137643001,1,
2020,137639966,1,
2020,137645244,9,
2020,137645512,10,
2020,137646111,6,
2020,137646209,9,
2020,137646212,3,
2020,137647235,1,
2020,137648179,1,
2020,137648177,1,
2020,137648212,1,
2020,137648212,6,
2020,137648374,1,
2020,137642864,1,
2020,137628246,9,
2020,137634037,1,
2020,137634072,9,
2020,137628579,9,
2020,137628571,9,
2020,137634069,9,
2020,137634223,9,
2020,137634209,9,
2020,137628738,9,
2020,137628759,9,
2020,137634637,9,
2020,137634815,1,
2020,137629990,9,
2020,137630090,6,
2020,137635417,6,
2020,137630138,10,
2020,137630283,10,
2020,137630286,10,
2020,137635593,10,
2020,137630606,1,
2020,137635846,1,
2020,137636354,1,
2020,137631185,1,
2020,137636466,1,
2020,137637082,6,
2020,137637082,1,
2020,137637229,1,
2020,137632120,10,
2020,137637413,9,
2020,137638350,1,
2020,137644135,1,
2020,137639353,4,
2020,137639379,4,
2020,137639364,4,
2020,137644356,4,
2020,137639403,10,
2020,137645183,10,
2020,137645311,9,
2020,137640263,9,
2020,137640262,9,
2020,137645628,10,
2020,137646714,10,
2020,137641809,10,
2020,137641805,10,
2020,137642061,10,
2020,137647656,10,
2020,137647640,10,
2020,137647879,9,
2020,137642873,1,
2020,137648394,1,
2020,137648403,1,
2020,137653679,10,
2020,137654001,9,
2020,137654000,10,
2020,137649876,2,
2020,137649899,1,
2020,137654503,1,
2020,137628569,9,
2020,137633785,6,
2020,137633784,6,
2020,137628230,6,
2020,137628568,9,
2020,137634074,9,
2020,137634073,9,
2020,137628729,6,
2020,137635839,1,
2020,137631031,10,
2020,137636265,10,
2020,137637064,1,
2020,137632859,10,
2020,137654010,10,
2020,137633961,9,
2020,137628415,9,
2020,137633958,9,
2020,137628413,9,
2020,137634178,8,
2020,137629668,9,
2020,137635193,1,
2020,137635289,9,
2020,137635313,9,
2020,137629972,9,
2020,137635329,9,
2020,137635315,9,
2020,137635316,9,
2020,137635318,9,
2020,137635334,9,
2020,137635333,9,
2020,137630063,10,
2020,137630075,10,
2020,137630102,1,
2020,137635700,6,
2020,137635702,6,
2020,137635711,10,
2020,137635714,10,
2020,137630439,10,
2020,137630434,10,
2020,137630443,10,
2020,137635741,10,
2020,137635736,10,
2020,137635886,9,
2020,137631980,1,
2020,137631980,6,
2020,137632273,1,
2020,137632692,1,
2020,137637806,1,
2020,137643044,1,
2020,137643656,10,
2020,143320054,1,
2020,143320213,6,
2020,143320214,9,
2020,143315574,9,
2020,143320265,1,
2020,143315601,9,
2020,143320280,9,
2020,143315604,9,
2020,143315626,9,
2020,143315788,6,
2020,143315807,6,
2020,143320505,1,
2020,143320530,6,
2020,143316037,10,
2020,143316035,1,
2020,143320839,9,
2020,143320874,1,
2020,143316111,1,
2020,143316140,10,
2020,143320946,10,
2020,143320944,10,
2020,143316328,9,
2020,143321329,10,
2020,143316770,1,
2020,143316773,1,
2020,143316844,9,
2020,143316977,6,
2020,143316977,1,
2020,143316984,1,
2020,143316988,6,
2020,143322255,2,
2020,143322267,9,
2020,143317001,1,
2020,143322288,9,
2020,143322334,1,
2020,143322350,1,
2020,143317090,1,
2020,143322403,1,
2020,143317267,4,
2020,143322657,2,
2020,143322677,9,
2020,143317387,6,
2020,143317389,9,
2020,143317388,9,
2020,143317390,9,
2020,143322773,9,
2020,143317628,9,
2020,143323332,6,
2020,143323332,1,
2020,143317782,10,
2020,143323384,10,
2020,143317763,10,
2020,143317804,1,
2020,143317884,1,
2020,143328120,9,
2020,143324072,6,
2020,143328354,1,
2020,143324192,9,
2020,139630445,6,
2020,140080455,1,
2020,140084534,1,
2020,140084533,1,
2020,140084615,10,
2020,140080545,10,
2020,140080546,10,
2020,140084901,9,
2020,140081564,1,
2020,140088270,9,
2020,140088270,1,
2020,140089068,9,
2020,140093122,6,
2020,140094552,9,
2020,140091465,9,
2020,140092833,1,
2020,140092807,1,
2020,140096614,1,
2020,140097181,6,
2020,140098374,6,
2020,140103081,10,
2020,140103114,6,
2020,140103218,1,
2020,140103299,1,
2020,140103372,6,
2020,140100423,9,
2020,139626175,1,
2020,139629017,6,
2020,139629041,10,
2020,139627495,10,
2020,139633248,6,
2020,139634215,6,
2020,139631189,6,
2020,139631185,6,
2020,137628465,9,
2020,137634538,1,
2020,137628455,9,
2020,137633983,9,
2020,137634979,10,
2020,137630191,1,
2020,137636238,1,
2020,137636280,10,
2020,137636404,9,
2020,137632643,1,
2020,137637815,5,
2020,137638280,10,
2020,137643834,6,
2020,137639411,16,
2020,137645323,6,
2020,137645379,9,
2020,137640940,2,
2020,137647621,10,
2020,137647809,9,
2020,137647809,1,
2020,137647878,1,
2020,137653282,1,
2020,137649123,9,
2020,137653670,10,
2020,139625909,10,
2020,139622591,10,
2020,139625908,10,
2020,139628950,1,
2020,139627829,9,
2020,139633642,9,
2020,139630490,8,
2020,139630495,8,
2020,139630501,8,
2020,139633784,8,
2020,139633787,8,
2020,139630703,1,
2020,139634056,9,
2020,139630812,9,
2020,140085107,1,
2020,140081188,9,
2020,140081187,9,
2020,140085153,9,
2020,140085148,9,
2020,140081336,10,
2020,140085278,10,
2020,140081648,1,
2020,140085974,10,
2020,140085959,10,
2020,140087076,1,
2020,140087217,10,
2020,140088387,10,
2020,140087224,10,
2020,140087225,10,
2020,140088400,10,
2020,140088646,10,
2020,140088647,10,
2020,140095172,9,
2020,140095222,8,
2020,140095826,9,
2020,140095900,1,
2020,140092077,2,
2020,140092321,9,
2020,140092317,9,
2020,140096173,9,
2020,140096861,1,
2020,140103091,1,
2020,140099205,1,
2020,140099204,1,
2020,140100049,1,
2020,140104496,6,
2020,140104496,1,
2020,137639352,1,
2020,137646849,10,
2020,137646905,1,
2020,137641959,1,
2020,137642462,1,
2020,137653330,9,
2020,137649127,10,
2020,137649287,9,
2020,139625857,1,
2020,139622868,1,
2020,139626803,9,
2020,139627137,9,
2020,139627480,1,
2020,139627751,10,
2020,139632995,6,
2020,139633951,1,
2020,139630653,1,
2020,139630982,1,
2020,139630999,1,
2020,139630992,1,
2020,137634431,1,
2020,137634813,1,
2020,137635728,10,
2020,137635723,10,
2020,137635893,6,
2020,137636374,1,
2020,137637211,1,
2020,137645122,6,
2020,137645395,6,
2020,137640350,6,
2020,137640333,6,
2020,137640597,1,
2020,137640822,6,
2020,137645862,6,
2020,137641735,1,
2020,137642055,1,
2020,137647684,6,
2020,137642403,1,
2020,137648750,9,
2020,137654537,1,
2020,139622712,9,
2020,139628555,6,
2020,139628934,10,
2020,139627310,1,
2020,139628970,1,
2020,139630489,6,
2020,139630768,10,
2020,139630770,10,
2020,139630847,9,
2020,139622657,10,
2020,139627969,1,
2020,139629424,9,
2020,139629794,9,
2020,139629911,6,
2020,139633239,6,
2020,139633983,9,
2020,139629220,6,
2020,139627739,10,
2020,139629416,10,
2020,139629419,10,
2020,139627860,9,
2020,139627860,1,
2020,139629539,9,
2020,139629539,1,
2020,139629634,10,
2020,139633024,10,
2020,139625847,10,
2020,139627912,1,
2020,139626300,9,
2020,139630373,4,
2020,139630511,6,
2020,139630511,1,
2020,139626947,1,
2020,139627124,9,
2020,139629549,6,
2020,139630317,9,
2020,139630726,6,
2020,139630817,9,
2020,139622625,1,
2020,139625964,10,
2020,139622650,10,
2020,139622649,10,
2020,139622653,10,
2020,139625970,10,
