"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,6,151696887
2020,3,151701175
2020,6,151698080
2020,6,151702606
2020,6,151698272
2020,3,151698272
2020,1,151703250
2020,6,151699147
2020,8,151699514
2020,6,151704188
2020,6,151699862
2020,8,151700240
2020,6,151700945
2020,6,151705462
2020,6,151705779
2020,9,151706611
2020,6,151706648
2020,9,151711272
2020,6,151711314
2020,3,151713024
2020,3,151708401
2020,9,151713601
2020,6,151714701
2020,6,151714699
2020,6,151710572
2020,9,151710643
2020,6,151716164
2020,6,151722077
2020,6,151717190
2020,6,153723547
2020,6,153723798
2020,6,153727479
2020,6,153727532
2020,6,153727675
2020,6,153724206
2020,6,153724208
2020,9,163709949
2020,6,163710494
2020,6,151696910
2020,6,151701415
2020,6,151701414
2020,1,151697177
2020,6,151701544
2020,6,151701539
2020,1,151701741
2020,6,151701826
2020,9,151702426
2020,9,151698254
2020,6,151702975
2020,9,151698913
2020,8,151703593
2020,9,151699339
2020,8,151703975
2020,8,151699662
2020,6,151704166
2020,8,151704286
2020,6,151705464
2020,9,163717180
2020,6,151705833
2020,6,151705834
2020,9,151706282
2020,9,151706415
2020,6,151706600
2020,9,151711359
2020,9,151707148
2020,9,151711846
2020,9,151707329
2020,6,151707330
2020,9,151712500
2020,6,151712675
2020,6,151708264
2020,6,151713047
2020,6,151713137
2020,9,151713500
2020,9,151708729
2020,6,151709304
2020,9,151709335
2020,3,151714138
2020,9,151709379
2020,9,151709389
2020,6,151714182
2020,6,151710301
2020,6,151710312
2020,6,151715616
2020,9,151711106
2020,8,151711168
2020,9,151716305
2020,9,151721760
2020,6,163715642
2020,6,163718557
2020,9,163716012
2020,9,163718820
2020,12,163719768
2020,6,163722517
2020,6,163722551
2020,6,163723369
2020,6,163723368
2020,9,163724097
2020,9,163724555
2020,6,163724988
2020,2,163724986
2020,7,163728995
2020,3,163734098
2020,6,163736293
2020,1,163734099
2020,9,163737156
2020,6,163737544
2020,6,163737994
2020,6,163738309
2020,6,163738355
2020,8,163738438
2020,2,163741874
2020,9,163739383
2020,9,163739397
2020,9,163739432
2020,6,163740232
2020,6,151701797
2020,6,151698013
2020,6,151698128
2020,9,151702713
2020,6,151698775
2020,9,151698773
2020,6,151698801
2020,6,151703135
2020,9,151698830
2020,9,151698859
2020,6,151703447
2020,6,151699075
2020,12,151699414
2020,8,151699591
2020,6,151705975
2020,2,151706414
2020,9,151711394
2020,6,151711519
2020,6,151711556
2020,6,151706912
2020,9,151711623
2020,6,151707214
2020,9,151707361
2020,6,151712408
2020,6,151708098
2020,6,151713490
2020,6,151713493
2020,9,151708877
2020,6,151709016
2020,9,151709015
2020,9,151713756
2020,8,151709216
2020,9,151714026
2020,6,151709768
2020,6,151715428
2020,9,151715496
2020,9,151721371
2020,7,151716669
2020,1,151701231
2020,5,151701292
2020,5,151701374
2020,6,151697889
2020,3,151702219
2020,6,151697918
2020,9,151698026
2020,6,151698804
2020,9,151703275
2020,9,151703390
2020,9,151703519
2020,9,151703767
2020,6,151699456
2020,8,151699830
2020,6,151704469
2020,6,151705483
2020,6,151705526
2020,6,151705538
2020,7,151705752
2020,6,151706195
2020,6,151706383
2020,9,151711619
2020,6,151712148
2020,8,151712631
2020,3,151713562
2020,6,151708804
2020,6,151714011
2020,9,151714018
2020,9,151709272
2020,6,151710063
2020,6,151710064
2020,8,151715234
2020,6,151715306
2020,6,151710439
2020,6,151716247
2020,3,151716416
2020,9,151716876
2020,6,151717018
2020,9,151702657
2020,9,151698412
2020,9,151698521
2020,9,151698687
2020,6,151698803
2020,9,151703380
2020,9,151703383
2020,6,151703387
2020,9,151703714
2020,9,151699366
2020,1,151699422
2020,6,151704162
2020,6,151704170
2020,6,151704178
2020,8,151704384
2020,6,151700214
2020,6,151704740
2020,6,151705258
2020,6,151701063
2020,9,151706210
2020,6,151707220
2020,9,151711877
2020,3,151712093
2020,6,151707793
2020,8,151713050
2020,6,151708873
2020,9,151709348
2020,9,151710172
2020,6,151715189
2020,8,151715189
2020,9,151715980
2020,9,151711041
2020,6,151716011
2020,6,151721422
2020,6,151716477
2020,9,151716931
2020,6,151716969
2020,9,151722232
2020,6,151722249
2020,6,151717371
2020,9,151722308
2020,6,151722316
2020,9,151717455
2020,6,151722340
2020,2,151717495
2020,8,151717528
2020,9,151717607
2020,6,151697371
2020,6,151697496
2020,6,151702531
2020,2,151702556
2020,6,151702732
2020,5,151698456
2020,9,151702998
2020,9,151699013
2020,6,151699126
2020,6,151703498
2020,6,151703501
2020,8,151703944
2020,6,151699633
2020,9,151706806
2020,9,151706911
2020,6,151711637
2020,12,151707304
2020,6,151707495
2020,6,151707616
2020,6,151713262
2020,9,151709274
2020,8,151710027
2020,5,151711164
2020,6,151697549
2020,6,151697573
2020,6,151701898
2020,6,151698175
2020,9,151698507
2020,9,151702967
2020,6,151698684
2020,6,151703345
2020,3,151703345
2020,6,151699823
2020,9,151706125
2020,9,151706153
2020,9,151706160
2020,9,151706575
2020,9,151707103
2020,1,151707500
2020,6,151707706
2020,9,151712592
2020,9,151712916
2020,6,151712949
2020,8,151708294
2020,8,151708313
2020,9,151708685
2020,9,151708715
2020,6,151709617
2020,6,151709893
2020,6,151711075
2020,6,151711076
2020,6,151717078
2020,6,151721970
2020,6,151717079
2020,9,151722259
2020,9,151722369
2020,6,151717491
2020,9,151722411
2020,9,151722437
2020,9,151722440
2020,9,151722539
2020,1,151722589
2020,6,156949871
2020,6,156946092
2020,8,156946092
2020,6,156951240
2020,9,156951390
2020,9,156951436
2020,7,156950745
2020,6,156956309
2020,6,156956568
2020,9,156953273
2020,3,156957081
2020,6,156957080
2020,9,156953482
2020,9,156953657
2020,9,156953756
2020,9,156953896
2020,9,156954188
2020,9,156954708
2020,6,156958949
2020,6,156959233
2020,6,156959485
2020,1,156959539
2020,14,156959707
2020,6,156956134
2020,6,156960269
2020,6,156960271
2020,6,151701227
2020,6,151698047
2020,6,151702377
2020,7,151702786
2020,6,151702786
2020,8,151702786
2020,7,151702785
2020,6,151702785
2020,1,151703129
2020,9,151703278
2020,9,151699160
2020,6,151699617
2020,6,151699658
2020,1,151699657
2020,6,151704191
2020,6,151699769
2020,9,151704558
2020,6,151700136
2020,6,151705453
2020,8,151700988
2020,9,151705744
2020,6,151712107
2020,6,151707474
2020,8,151708349
2020,6,151708375
2020,9,151708681
2020,6,151713527
2020,6,151709302
2020,8,151714169
2020,6,151714365
2020,6,151710219
2020,8,151716005
2020,8,151716672
2020,6,151702557
2020,8,151702971
2020,9,151703215
2020,8,151703465
2020,6,151699111
2020,6,151699296
2020,6,151699712
2020,6,151704120
2020,8,151700321
2020,9,151706157
2020,9,151707082
2020,6,151707425
2020,9,151708070
2020,6,151708125
2020,6,151708153
2020,6,151708190
2020,6,151713957
2020,1,151714523
2020,6,151715393
2020,1,151715494
2020,9,151715507
2020,3,151711038
2020,3,151715996
2020,9,151716014
2020,9,151711066
2020,9,151716320
2020,8,151717210
2020,6,151698485
2020,3,151698762
2020,9,151698958
2020,7,151703369
2020,3,151703369
2020,9,151699035
2020,8,151699085
2020,9,151699184
2020,10,151699206
2020,6,151699302
2020,6,151699300
2020,6,151699762
2020,6,151704186
2020,6,151700874
2020,6,151701027
2020,6,151705559
2020,6,151706344
2020,8,151706373
2020,9,151711323
2020,6,151711561
2020,2,151712266
2020,6,151712321
2020,6,151712809
2020,6,151712818
2020,6,151712856
2020,6,151708114
2020,2,151708731
2020,8,151714448
2020,8,151715168
2020,3,151716872
2020,1,151716983
2020,9,151717008
2020,8,151717429
2020,9,151722354
2020,6,151717498
2020,9,151717648
2020,6,151701446
2020,6,151701447
2020,1,151697806
2020,6,151702233
2020,6,151697921
2020,8,151698101
2020,6,151698165
2020,6,151702677
2020,6,151698351
2020,6,151698346
2020,7,151698346
2020,3,151703131
2020,6,151703128
2020,6,151699145
2020,6,151703534
2020,6,151703530
2020,1,151699405
2020,8,151699593
2020,1,151704492
2020,6,151700768
2020,6,151700914
2020,9,151701142
2020,9,151706271
2020,9,151705842
2020,9,151711452
2020,6,151712185
2020,9,151712605
2020,6,151708216
2020,6,151713163
2020,6,151713514
2020,6,151708768
2020,6,151713536
2020,6,151713531
2020,3,151713648
2020,9,151709073
2020,9,151709103
2020,4,151709159
2020,3,151709201
2020,6,151714788
2020,6,151715119
2020,8,151715119
2020,6,151715452
2020,6,151715815
2020,8,151715904
2020,9,151715921
2020,8,151715994
2020,6,151721620
2020,3,151716713
2020,6,151721817
2020,6,151717169
2020,6,151717243
2020,6,156919491
2020,6,156920100
2020,6,156920557
2020,8,156926205
2020,6,156926690
2020,6,156924134
2020,6,156926952
2020,6,156926923
2020,6,156924311
2020,6,156927475
2020,6,156927559
2020,6,156927761
2020,8,156924909
2020,6,156924980
2020,8,156927985
2020,6,156927933
2020,3,156927933
2020,8,156927933
2020,7,156927921
2020,6,156927921
2020,3,156927921
2020,6,156927961
2020,9,154178957
2020,3,154179338
2020,6,154179495
2020,6,154174786
2020,8,154174909
2020,6,154179888
2020,6,154179898
2020,6,154176016
2020,9,154180967
2020,9,154180987
2020,1,154186249
2020,9,154183331
2020,1,154183461
2020,1,154189682
2020,3,154185446
2020,4,154190549
2020,6,154196249
2020,6,154192323
2020,6,154197184
2020,6,155260502
2020,1,155260741
2020,6,155260834
2020,1,155260842
2020,6,155262657
2020,6,155266638
2020,9,155266883
2020,9,155266897
2020,8,154177780
2020,6,154173225
2020,9,154178349
2020,9,154178465
2020,9,154173474
2020,6,154179302
2020,6,154179304
2020,6,154179428
2020,9,154179980
2020,9,154175131
2020,6,154180130
2020,7,154180432
2020,6,154175487
2020,2,154176133
2020,1,154186226
2020,3,154181305
2020,9,154181385
2020,9,154181527
2020,6,154186813
2020,9,154182246
2020,6,154182744
2020,9,154187692
2020,9,154183130
2020,6,154188191
2020,3,154188440
2020,6,154184009
2020,6,154184574
2020,6,154189626
2020,6,154185300
2020,6,154185370
2020,6,154185372
2020,6,154190408
2020,6,154196920
2020,9,161786951
2020,6,161787528
2020,6,161787535
2020,6,161791801
2020,6,161787599
2020,6,161787622
2020,6,161788662
2020,6,161789875
2020,8,161794863
2020,6,161795369
2020,6,161796872
2020,6,161801390
2020,6,161801670
2020,9,161797565
2020,6,161802503
2020,9,161803031
2020,9,161798557
2020,9,154173949
2020,1,154174205
2020,1,154180043
2020,9,154180188
2020,9,154175850
2020,9,154176146
2020,9,154181417
2020,9,154186380
2020,9,154181508
2020,9,154187252
2020,9,154182622
2020,9,154187709
2020,9,154182861
2020,6,154187778
2020,12,161803832
2020,1,154188240
2020,6,154183937
2020,6,154183916
2020,6,154184244
2020,6,161803933
2020,6,161803950
2020,6,154190161
2020,6,154185702
2020,6,154185704
2020,1,154196717
2020,6,161799342
2020,6,161799660
2020,9,161799695
2020,9,161804511
2020,6,161799796
2020,6,161799798
2020,6,161804560
2020,6,161799840
2020,6,161804566
2020,6,161804572
2020,9,161800020
2020,9,161800071
2020,6,161804905
2020,6,161804910
2020,6,161805017
2020,9,161805048
2020,9,161800216
2020,9,161800364
2020,10,161805314
2020,6,161805324
2020,9,161805358
2020,9,161805377
2020,9,161805387
2020,9,161805426
2020,8,161805431
2020,9,161800537
2020,9,161805548
2020,6,161805546
2020,6,161805556
2020,9,161800576
2020,9,161805573
2020,9,161800607
2020,9,161805607
2020,9,161800628
2020,9,161805632
2020,9,161800651
2020,9,161805643
2020,9,161805647
2020,9,161805677
2020,6,161805678
2020,12,161805736
2020,9,161800752
2020,9,161805788
2020,9,161800781
2020,9,161805803
2020,6,161800800
2020,6,161805821
2020,8,161805836
