"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,12,159671184,32815717
2020,3,159668780,32815723
2020,12,159671220,32820479
2020,3,159671366,32815750
2020,20,159671425,32815768
2020,12,159671430,32820503
2020,12,159671449,32815774
2020,12,159668881,32820509
2020,12,159671463,32820515
2020,18,159671503,32815786
2020,12,159671551,32815801
2020,3,159668988,32815807
2020,3,159671673,32815840
2020,3,159669120,32815849
2020,20,159669173,32820585
2020,12,159669275,32815885
2020,12,159671989,32815903
2020,12,159669671,32815949
2020,19,159672025,32815910
2020,12,159669567,32815927
2020,12,159669768,32820698
2020,12,159669890,32820736
2020,2,159669969,32816009
2020,12,159670193,32820787
2020,3,159673129,32820855
2020,12,159670884,32820930
2020,19,159673465,32816213
2020,9,159671028,32820970
2020,12,159671066,32820989
2020,18,159673608,32816257
2020,10,160453564,33043193
2020,19,160453590,33043202
2020,12,160457057,33040906
2020,19,160453693,33040912
2020,12,160453833,33043296
2020,3,160454055,33040962
2020,12,160457394,33043413
2020,12,160454363,33043425
2020,12,160454469,33043458
2020,12,160457522,33041033
2020,19,160457551,33043494
2020,12,160457568,33041045
2020,12,160454709,33041060
2020,18,160454708,33043526
2020,12,160454859,33043549
2020,3,160454972,33043581
2020,12,160457826,33043613
2020,12,160455072,33043620
2020,2,160455084,33043622
2020,12,160455266,33043686
2020,12,160455358,33043724
2020,19,160455552,33043776
2020,9,160455833,33043839
2020,12,160458260,33043847
2020,19,160458280,33041235
2020,3,160455914,33043854
2020,3,160456164,33043916
2020,12,160458427,33041278
2020,12,160461189,33043923
2020,3,160461237,33043934
2020,12,160458652,33041328
2020,12,160461706,33044063
2020,18,160461802,33044098
2020,12,160461839,33041374
2020,12,160458802,33044124
2020,12,160461938,33041397
2020,3,160459031,33044266
2020,12,160462353,33044280
2020,3,160459085,33041455
2020,12,159673608,32816256
2020,10,159676208,32821038
2020,12,159673772,32816294
2020,12,159676462,32821101
2020,20,159676598,32821128
2020,3,159676705,32816427
2020,12,159674482,32816528
2020,3,159674526,32816539
2020,12,159677155,32821304
2020,3,159674764,32821336
2020,20,159677313,32821352
2020,12,159674911,32821383
2020,12,159677624,32816672
2020,3,159675267,32821484
2020,12,159675375,32816750
2020,19,159675377,32816751
2020,12,159675386,32816753
2020,20,159675387,32816754
2020,12,159677866,32821517
2020,3,159675397,32816755
2020,20,159675402,32816756
2020,3,159675404,32816757
2020,3,159675406,32816758
2020,20,159675407,32816759
2020,12,159677885,32821520
2020,12,159675415,32816760
2020,9,159677901,32821523
2020,3,159677913,32821524
2020,20,159675432,32816761
2020,12,159675433,32821762
2020,12,159675434,32821763
2020,12,159675440,32821764
2020,12,159677926,32821527
2020,12,159677943,32821532
2020,4,159675803,32821885
2020,3,159675822,32821894
2020,3,159675821,32821893
2020,5,159675872,32821919
2020,9,159675873,32821920
2020,12,159675893,32821931
2020,10,159675897,32821934
2020,12,159675897,32821935
2020,9,159675897,32821933
2020,12,159675912,32821939
2020,3,159675917,32821942
2020,11,159675922,32821945
2020,12,159681200,32822055
2020,12,159681281,32822074
2020,3,159681326,32822081
2020,3,159681327,32822082
2020,12,159681669,32822227
2020,4,159679220,32827013
2020,12,159681858,32822275
2020,19,159681979,32822309
2020,12,159681983,32822310
2020,9,159682185,32822380
2020,12,159682230,32822392
2020,12,159682302,32822415
2020,3,159679775,32827218
2020,12,159679852,32822451
2020,12,159682545,32822474
2020,12,159679985,32827267
2020,3,159680017,32827280
2020,12,159680068,32822488
2020,3,159680088,32827298
2020,19,159682788,32822546
2020,3,159680375,32822584
2020,3,159682924,32822591
2020,19,159683239,32827480
2020,19,159683247,32822678
2020,18,159680820,32827506
2020,12,159680859,32822711
2020,19,159681025,32827572
2020,12,159681059,32822762
2020,12,159683531,32827579
2020,12,159681099,32822767
2020,19,159686612,32822819
2020,12,159686770,32827783
2020,18,159686830,32822858
2020,19,159686857,32827805
2020,3,159683964,32822884
2020,3,159686978,32827832
2020,12,159687127,32827863
2020,19,159687154,32827867
2020,9,159684120,32822925
2020,12,159689037,32828546
2020,12,159689094,32828575
2020,12,159689134,32828597
2020,12,159689144,32828606
2020,18,159689207,32828637
2020,10,159685025,32823270
2020,12,159689274,32828662
2020,12,159685068,32823283
2020,3,159689374,32828699
2020,12,159685137,32828711
2020,2,159689465,32828732
2020,3,159689466,32828733
2020,12,159689479,32823314
2020,3,159685307,32823352
2020,9,159689805,32823366
2020,19,159685395,32828847
2020,3,159685413,32823382
2020,12,159685668,32828972
2020,12,159690351,32828980
2020,12,159690465,32823474
2020,12,159690497,32829031
2020,3,159690561,32829042
2020,12,159690631,32829067
2020,3,159690721,32829093
2020,3,159690733,32829096
2020,12,159690753,32823516
2020,12,159690843,32829139
2020,12,159686077,32829186
2020,9,159691105,32829213
2020,3,159691197,32829243
2020,12,159691293,32829293
2020,12,159691319,32829300
2020,10,159691373,32829312
2020,12,159691382,32829314
2020,12,159696302,32823644
2020,19,159696366,32829349
2020,9,159696548,32829424
2020,18,159691835,32829451
2020,19,159691917,32829478
2020,12,159696727,32829540
2020,12,159692099,32829553
2020,12,159692169,32829568
2020,3,159696781,32829574
2020,12,159692223,32829587
2020,12,159692232,32829590
2020,3,159692239,32829592
2020,12,159696834,32829599
2020,3,159696882,32823788
2020,10,159692541,32829682
2020,12,159692590,32829696
2020,3,159697087,32823842
2020,12,159692724,32823859
