"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,144053945,148894132,1,47071139
2020,144053945,148894135,1,47072738
2020,144053945,148894142,18,47072742
2020,144053945,148896555,1,47072737
2020,144053945,148896556,1,47072739
2020,144053945,148896560,1,47072741
2020,144053945,148894126,1,47072735
2020,144053945,148894133,1,47071140
2020,144054748,148894931,18,47073108
2020,144050906,148897416,14,47073027
2020,144050505,148896925,1,47071342
2020,144051893,148898396,1,47076974
2020,144051893,148898389,1,47076973
2020,144054277,148894470,11,47072923
2020,144051446,148900137,25,47073195
2020,144051436,148897932,25,47076763
2020,144051436,148900137,1,47076765
2020,144051446,148897932,1,47073194
2020,144055473,148898561,18,47073439
2020,144055718,148900939,16,47073540
2020,144052377,148900937,11,47077169
2020,144052377,148898891,25,47073547
2020,144052370,148900937,25,47077160
2020,144052370,148898891,5,47077162
2020,144052676,148899205,24,47077303
2020,144056078,148901306,5,47077349
2020,144056535,148904973,17,47077576
2020,144058412,148901787,16,47077579
2020,144058512,148905080,9,47077637
2020,144058615,148901938,27,47073935
2020,144058860,148905367,18,47077759
2020,144058889,148902141,25,47077781
2020,144058885,148902141,27,47077780
2020,144058889,148905415,27,47074006
2020,144058885,148905415,25,47077779
2020,144059375,148905921,17,47077957
2020,144057487,148902693,3,47078041
2020,144057619,148902821,18,47078141
2020,144059946,148906422,25,47074391
2020,144059946,148906421,24,47074392
2020,144059945,148906421,25,47078257
2020,144059945,148906422,24,47078256
2020,144057882,148903060,3,47074421
2020,144060504,148907027,1,47078484
2020,144060659,148907156,18,47078570
2020,144060684,148907186,1,47074623
2020,144060705,148907195,1,47074627
2020,144063378,148907219,16,47078599
2020,144060778,148907263,6,47078606
2020,144063788,148907656,3,47074823
2020,144063843,148903957,13,47078780
2020,144061214,148907730,16,47074840
2020,144061224,148907740,18,47078794
2020,144061279,148907789,18,47078817
2020,144061288,148904043,21,47074880
2020,144063948,148907828,15,47074893
2020,144064134,148904248,18,47074964
2020,144061785,148908284,16,47075075
2020,144064197,148908097,5,47074997
2020,144064196,148908097,5,47074996
2020,144061722,148904444,18,47078988
2020,144061724,148904444,5,47078989
2020,144062087,148908578,18,47075165
2020,144062134,148908626,18,47079118
2020,144062132,148904769,18,47075177
2020,144062132,148904770,18,47079113
2020,144062134,148904768,18,47079115
2020,144062137,148908625,18,47079122
2020,144062137,148904770,18,47079123
2020,144062137,148904766,9,47079120
2020,144062132,148904768,18,47075174
