"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,4,163135628
2020,4,163136454
2020,4,163135924
2020,4,163135927
2020,4,163136587
2020,4,163136597
2020,4,163135926
2020,4,163141273
2020,4,163137094
2020,4,163141493
2020,4,163141680
2020,4,163141607
2020,4,163137637
2020,4,163137632
2020,4,163137725
2020,4,163137803
2020,4,163137796
2020,4,163137853
2020,4,163137850
2020,3,163137965
2020,3,163142181
2020,3,163142167
2020,4,163138012
2020,4,163138002
2020,4,163142275
2020,4,163138067
2020,4,163142325
2020,4,163142352
2020,4,163138224
2020,4,163142498
2020,4,163142521
2020,1,163144146
2020,4,163142670
2020,4,163144205
2020,1,163144149
2020,1,163144171
2020,1,163140178
2020,3,163140324
2020,4,163140400
2020,3,163140601
2020,4,162201554
2020,4,162201651
2020,4,162206744
2020,4,162207130
2020,4,162207210
2020,1,162201797
2020,4,162201833
2020,3,162207282
2020,4,162201973
2020,1,162202038
2020,1,162202032
2020,4,162202109
2020,4,162202184
2020,4,162202240
2020,4,162202237
2020,3,162207656
2020,4,162207851
2020,4,162202646
2020,4,162207992
2020,2,162203307
2020,2,162203306
2020,4,162208633
2020,4,162203453
2020,4,162209103
2020,4,162204359
2020,4,162209583
2020,4,162209879
2020,3,162204509
2020,4,162204545
2020,4,162209964
2020,4,162210057
2020,4,162204736
2020,4,162204745
2020,3,162204911
2020,4,162210400
2020,4,162204840
2020,4,162210253
2020,4,162210269
2020,4,162210415
2020,4,162210414
2020,4,162210450
2020,4,162205089
2020,4,162205118
2020,3,162205141
2020,4,162210514
2020,4,162205227
2020,3,162205240
2020,3,162210623
2020,3,162205261
2020,4,162210677
2020,4,162210681
2020,4,162210710
2020,4,162210858
2020,4,162205456
2020,4,162210842
2020,3,162210863
2020,4,162210878
2020,4,162210886
2020,3,162210888
2020,3,162205501
2020,4,162211146
2020,4,162205852
2020,4,162205951
2020,4,162206054
2020,4,162211490
2020,3,162206058
2020,4,162206085
2020,4,162206105
2020,4,162211684
2020,4,162216350
2020,4,162216386
2020,3,162216531
2020,3,162212002
2020,3,162212071
2020,4,162212092
2020,4,162216684
2020,4,162212609
2020,4,162212694
2020,4,162212824
2020,4,162212823
2020,4,162212888
2020,4,162217466
2020,3,162212950
2020,4,162217745
2020,4,162213218
2020,4,162217822
2020,4,162213329
2020,4,162213347
2020,4,162213397
2020,4,162217985
2020,4,162213761
2020,4,162213793
2020,4,162213804
2020,4,162218308
2020,4,162213978
2020,4,162218446
2020,4,162218538
2020,4,162214182
2020,4,162214353
2020,4,162214275
2020,4,162218836
2020,4,162214388
2020,4,162214381
2020,4,162214430
2020,4,162219017
2020,4,162214519
2020,4,162214537
2020,4,162219277
2020,4,162214763
2020,4,162214822
2020,4,162214903
2020,4,162214994
2020,4,162219528
2020,4,162219586
2020,3,162219600
2020,4,162219635
2020,4,162215152
2020,4,162215213
2020,4,162215300
2020,4,162219743
2020,4,162215354
2020,4,162219836
2020,4,162215708
2020,4,162220040
2020,4,162215484
2020,4,162220059
2020,4,162215659
2020,1,162220315
2020,1,162220313
2020,1,162215739
2020,4,162215762
2020,4,162215809
2020,4,162221238
2020,3,162221296
2020,4,162221415
2020,4,162221308
2020,4,162220857
2020,4,162221501
2020,4,162221593
2020,4,162221698
2020,4,162221704
2020,4,162221928
2020,4,162226395
2020,1,162222077
2020,3,162222077
2020,4,162222141
2020,4,162222202
2020,4,162226865
2020,4,162226866
2020,4,161956571
2020,4,161956011
2020,3,161956620
2020,4,161956770
2020,4,161956768
2020,3,161956810
2020,4,161961325
2020,4,161961366
2020,4,161957318
2020,4,161957103
2020,4,161957151
2020,4,161957266
2020,4,161957267
2020,4,161961563
2020,1,161957469
2020,4,161957774
2020,4,161957513
2020,4,161957811
2020,3,161957806
2020,3,161961990
2020,3,161961992
2020,3,161961988
2020,4,161957829
2020,3,161957881
2020,3,161957882
2020,4,161957886
2020,4,161957887
2020,3,161957894
