"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,9,155432111
2020,9,155432595
2020,9,155433221
2020,6,155432902
2020,6,155436684
2020,9,155436351
2020,9,155433032
2020,9,155433492
2020,6,155433998
2020,9,155434287
2020,9,155434447
2020,9,155438239
2020,8,155434650
2020,8,155434654
2020,3,155437816
2020,6,155437820
2020,3,155438231
2020,14,155438242
2020,9,155438266
2020,9,155435236
2020,6,155435430
2020,6,155435378
2020,3,155435507
2020,6,155435429
2020,9,155438794
2020,6,155438803
2020,9,155435713
2020,6,155435744
2020,6,155438890
2020,6,155435581
2020,9,155439247
2020,6,155435943
2020,9,155439276
2020,6,155439348
2020,9,155439388
2020,9,155436077
2020,9,155436097
2020,9,155439510
2020,9,155436156
2020,9,155441294
2020,9,155441313
2020,9,155441321
2020,9,155439809
2020,6,155439816
2020,6,155439822
2020,9,155441429
2020,9,155441446
2020,9,155439962
2020,9,155440305
2020,9,155440337
2020,9,155440345
2020,6,154399780
2020,9,151548390
2020,8,151548408
2020,8,151548409
2020,3,151548424
2020,9,151548520
2020,6,151549496
2020,6,151551333
2020,6,151551334
2020,9,151551376
2020,6,151551395
2020,6,151549648
2020,6,151550734
2020,6,151550879
2020,7,151550879
2020,9,151551089
2020,9,151551163
2020,9,151556377
2020,9,151552627
2020,9,151552856
2020,9,151558285
2020,9,151558505
2020,9,151553938
2020,8,151558953
2020,9,151559333
2020,9,151554427
2020,9,151559463
2020,9,151554477
2020,9,151559691
2020,9,151559809
2020,9,155431833
2020,12,155429860
2020,9,155432051
2020,8,155430083
2020,6,155432222
2020,1,155430903
2020,9,155430601
2020,6,155433183
2020,9,155433062
2020,9,155433233
2020,8,155434433
2020,9,155437257
2020,9,155434479
2020,9,155437840
2020,9,155434750
2020,8,155434930
2020,6,155438247
2020,9,155439115
2020,9,155435489
2020,6,155435896
2020,8,153466082
2020,8,153466084
2020,6,153466158
2020,9,153471390
2020,6,153467866
2020,6,153467867
2020,6,153467930
2020,6,153471761
2020,9,153472301
2020,9,153472626
2020,6,153469053
2020,6,153469055
2020,6,153469281
2020,6,153469286
2020,9,153469287
2020,6,153469499
2020,6,153469498
2020,8,153473437
2020,6,153473437
2020,9,153473554
2020,6,153473685
2020,9,153469974
2020,9,153473927
2020,6,153474552
2020,6,153470461
2020,4,153474766
2020,6,153470642
2020,6,153470641
2020,9,153470779
2020,9,153475049
2020,9,153470902
2020,9,153471043
2020,9,153471137
2020,9,153476204
2020,6,153476278
2020,9,153476369
2020,2,153475680
2020,9,153757598
2020,9,151548993
2020,6,151549717
2020,9,151546166
2020,9,151549301
2020,9,151549562
2020,8,151549714
2020,9,151550178
2020,9,151550499
2020,9,151550672
2020,9,151550743
2020,8,151556606
2020,6,151556753
2020,10,151557601
2020,9,151557839
2020,9,151553537
2020,9,151558006
2020,6,151558204
2020,9,151558202
2020,9,151558374
2020,9,151553883
2020,6,151553882
2020,6,151545641
2020,6,151545640
2020,9,151548900
2020,9,151548966
2020,6,151549062
2020,6,151549481
2020,6,151549633
2020,8,151549740
2020,6,151550100
2020,9,151551668
2020,6,151550101
2020,6,151550168
2020,7,151551970
2020,9,151552086
2020,9,151552425
2020,6,151556370
2020,6,151552834
2020,9,151557651
2020,9,151557617
2020,9,151557764
2020,9,151557843
2020,9,151553504
2020,9,151553587
2020,9,151558056
2020,9,151553677
2020,9,151558544
2020,9,151558581
2020,9,151558589
2020,9,151553989
2020,9,151558842
2020,9,151554282
2020,9,151554207
2020,9,151559101
2020,9,151559159
2020,8,151548526
2020,6,151548874
2020,7,151545912
2020,9,151548953
2020,6,151549729
2020,8,151551442
2020,9,151549777
2020,11,151549902
2020,6,151549942
2020,6,151549944
2020,10,151550043
2020,6,151552040
2020,8,151550635
2020,9,151552073
2020,9,151552096
2020,8,151556585
2020,9,151553256
2020,9,151554289
2020,9,151554339
2020,6,151549050
2020,9,151546065
2020,6,151551339
2020,6,151551493
2020,6,151551494
2020,9,151551528
2020,6,151549906
2020,9,151549931
2020,10,151550037
2020,9,151550164
2020,6,151550580
2020,9,151552465
2020,6,153472673
2020,6,153472675
2020,9,151557458
2020,9,151557904
2020,9,151553552
2020,9,151558063
2020,3,151558749
2020,9,151558166
2020,9,151554247
2020,9,151559038
2020,6,151559279
2020,6,151559278
2020,9,153463584
2020,6,153463611
2020,6,153463612
2020,8,153460902
2020,8,153460898
2020,9,153460896
2020,6,153464419
2020,9,153464522
2020,9,153466533
2020,9,153465314
2020,9,153465672
2020,9,153465687
2020,6,153471392
2020,9,153468982
2020,6,153472678
2020,6,153472759
2020,6,153469169
2020,9,153473575
2020,9,153469839
2020,9,153474266
2020,9,153470310
2020,9,153474278
2020,9,153474440
2020,6,153474534
2020,6,153474536
