"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,134004686,0.123,3,15980658
2020,12,134004692,0.105,3,15980659
2020,5,134004694,0.035,3,15980660
2020,11,134004695,0.176,3,15980661
2020,5,134004697,0.176,3,15980662
2020,12,134004698,0.035,3,15980664
2020,5,134004698,0.246,3,15980663
2020,15,134004698,0.035,3,15980665
2020,12,134004699,0.091,3,15980668
2020,9,134004699,0.394,3,15980667
2020,2,134004699,0.048,3,15980666
2020,12,134004701,0.049,3,15980669
2020,5,134004702,0.458,3,15980670
2020,5,134004704,0.176,3,15980671
2020,5,134004706,0.176,3,15980672
2020,5,134004707,,,15980673
2020,5,134004708,0.035,3,15980674
2020,12,134004708,0.07,3,15980675
2020,5,134004711,1.94,3,15980676
2020,5,134004712,0.105,3,15980677
2020,11,134004713,0.017,3,15980678
2020,5,134004714,0.003,3,15980679
2020,11,134004715,4.462,3,15980682
2020,16,134004715,1,9,15980681
2020,5,134004715,0.017,3,15980680
2020,5,134004716,1,3,15980683
2020,12,134004717,0.052,3,15980684
2020,3,134004718,1,9,15980685
2020,13,134004719,3,9,15980687
2020,5,134004719,0.317,3,15980686
2020,5,134004720,2,3,15980688
2020,5,134004721,0.176,3,15980689
2020,5,134004723,0.141,3,15980691
2020,2,134004723,0.035,3,15980690
2020,5,132844388,0.035,3,15747921
2020,16,132844388,1,9,15747922
2020,5,132844393,0.035,3,15747924
2020,12,132844421,0.079,3,15747938
2020,12,132844444,0.599,3,15747954
2020,12,132847604,,,15745219
2020,5,132847665,0.211,3,15745249
2020,5,132847599,0.141,3,15745215
2020,12,132844547,1,9,15748020
2020,11,132847665,17.425,3,15745250
2020,5,132847777,0.035,3,15745331
2020,5,132847712,0.352,3,15745283
2020,12,132849803,0.141,3,15748255
2020,5,132849803,0.035,3,15748254
2020,5,132848123,0.052,3,15745567
2020,12,132848110,0.194,3,15745560
2020,5,132850008,0.529,3,15745573
2020,12,132848140,0.035,3,15745577
2020,15,132848140,0.003,3,15745578
2020,5,132848142,0.246,3,15745579
2020,12,132848148,0.236,3,15745581
2020,4,132848148,0.063,3,15745580
2020,5,132848227,15,10,15745619
2020,11,132848252,0.529,3,15745637
2020,12,132848252,0.035,3,15745636
2020,4,132848277,0.035,3,15745658
2020,12,132848412,0.035,3,15745763
2020,4,132848412,0.035,3,15745762
2020,8,132850357,20,9,15748660
2020,4,132850437,0.141,3,15748707
2020,5,132849254,1,3,15746002
2020,5,132849559,1,1,15748805
2020,5,132854610,6,4,15746072
2020,5,132851304,1,1,15746073
2020,5,132851323,4,4,15748814
2020,12,132851368,2,1,15748822
2020,8,132851368,2,9,15748823
2020,5,132851389,1,1,15746090
2020,5,132851530,3,4,15748846
2020,12,132851571,1,1,15746137
2020,8,132855064,1,1,15746153
2020,5,132851657,1,3,15746156
2020,5,132855188,29,1,15748882
2020,15,132851780,0.5,9,15748898
2020,5,132855391,28,1,15746201
2020,12,132851854,3,1,15748908
2020,5,132855470,1,1,15746216
2020,5,132855561,3,1,15746224
2020,4,132852169,0.5,1,15748941
2020,12,132855992,3,1,15746264
2020,5,132856172,1,1,15746289
2020,1,132852429,1,1,15748967
2020,4,132856267,1,1,15746305
2020,4,132852578,1,1,15749002
2020,11,132856396,1,1,15749006
2020,1,132856409,,,15749009
2020,11,132852795,1,3,15749027
2020,17,132852858,7,9,15749031
2020,5,132852858,3,1,15749032
2020,5,132856777,6,4,15749035
2020,5,132856932,3,1,15746368
2020,5,132853007,1,1,15749046
2020,5,132856987,1,1,15749050
2020,2,132853089,2,2,15749059
2020,1,132857266,2,1,15746396
2020,5,132857324,2,1,15746399
2020,9,131458877,1,9,15402223
2020,12,131458877,0.035,3,15402224
2020,12,131459953,4.5,1,15408052
2020,5,131460466,,,15408196
2020,5,131460815,6,1,15408297
2020,16,131460815,42,9,15412499
2020,12,131465989,0.003,3,15408710
2020,8,131462145,1.038,1,15408779
2020,5,131462145,1.006,1,15408777
2020,12,131460297,0.035,3,15402335
2020,5,131460297,0.141,3,15402334
2020,5,131459290,0.035,3,15402338
2020,5,131459414,,,15408184
2020,5,131460670,0.211,3,15402443
2020,12,131460670,0.001,3,15408251
2020,12,131464805,,,15412495
2020,5,131460805,1,11,15408294
2020,5,131464854,14,1,15412507
2020,17,131464854,1,11,15412506
2020,12,131461904,0.024,3,15408699
2020,12,134566628,4,1,16070803
2020,17,134571828,0.86,1,16070832
2020,16,134571828,0.93,1,16073404
2020,2,134567555,1,1,16073565
2020,5,134572079,1,1,16070885
2020,2,134567296,0.6,1,16070918
2020,12,134567296,3.6,1,16073503
2020,8,134572265,13,9,16070927
2020,16,134572265,7,9,16070928
2020,8,134573834,,,16073845
2020,12,134567681,16.6,1,16073588
2020,12,134572754,4,9,16073612
2020,5,134572754,314,1,16073611
2020,5,134572968,1,1,16071112
2020,4,134573385,1,1,16073759
2020,16,134568528,111.5,1,16071217
2020,17,134586722,,,16072213
2020,12,134574061,23.2,1,16073899
2020,5,134574061,9.4,1,16073900
2020,2,134574061,2,1,16071348
2020,5,134574318,681.389,1,16073932
2020,5,132827880,0.2,1,15742730
2020,12,132827880,2.3,1,15742731
2020,12,132831431,,,15742775
2020,5,132828462,,,15742891
2020,16,132828611,1.2,1,15742915
2020,4,132828917,0.5,1,15742954
2020,8,132828917,11,9,15741133
2020,12,132828917,0.5,1,15742953
2020,17,132828955,1,11,15742958
2020,16,134569521,,,16073946
2020,5,132835007,,,15741295
2020,17,132835386,,,15743245
2020,5,134575127,0.035,3,16074009
2020,17,132834452,3,9,15741565
2020,8,132840047,1,11,15741645
2020,5,132840047,62.2,1,15743583
2020,17,132837789,0.084,3,15743643
2020,4,132840572,1,11,15743665
2020,4,132840819,1.2,1,15741747
2020,8,132840819,4,9,15741748
2020,8,132840819,1,11,15741749
2020,5,132839108,5.3,1,15743773
2020,12,132839108,3,1,15743774
2020,5,132845071,0.1,1,15741917
2020,12,132845175,0.077,3,15741930
2020,12,132845187,,,15743926
2020,8,132842716,0.07,3,15744080
2020,16,132842716,384,7,15742036
2020,5,132845675,1.199,3,15744099
2020,5,132842769,4,10,15744110
2020,5,132842769,1,11,15744111
2020,1,132845826,3,1,15744176
2020,5,132845857,0.098,3,15742134
2020,5,132843856,0.035,3,15747501
2020,5,134575175,8.3,1,16071468
2020,5,134580549,0.641,3,16074104
2020,5,132846141,4,1,15744309
2020,5,132843211,0.271,3,15742240
2020,5,132843295,0.141,3,15744378
2020,8,132846377,1016,1,15742298
2020,5,132843606,0.035,3,15742370
2020,5,132843685,0.141,3,15742407
2020,11,132843737,1,3,15742436
2020,5,132843737,0.105,3,15742435
2020,12,132843856,0.035,3,15747502
2020,8,134580871,0.8,1,16074149
2020,12,134580871,0.1,1,16071578
2020,5,132846946,0.529,3,15744685
2020,5,132846981,0.035,3,15744713
2020,5,132847002,0.035,3,15744736
2020,5,134576167,1.4,1,16071648
2020,5,134581275,522.6,1,16074214
2020,5,134576472,1.9,1,16071672
2020,2,134576472,4.2,1,16071670
2020,16,134576472,5,9,16071671
2020,4,134581810,1,1,16071700
2020,12,132844167,0.035,3,15747780
2020,8,132844167,1,9,15744930
2020,5,132844179,4,10,15744945
2020,5,132844179,0.07,3,15747787
2020,12,132847326,0.035,3,15745015
2020,5,132847658,0.035,3,15747989
2020,12,132847262,0.07,3,15744973
2020,5,132844333,13,10,15745100
2020,5,132848411,0.035,3,15745761
2020,12,132847437,0.07,3,15745108
2020,4,132849293,,,15746004
2020,17,134577227,,,16074326
