"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,41145507,1,41523571
2020,38377645,1,38459579
2020,38382876,1,38454303
2020,38377678,1,38459612
2020,38377679,1,38459613
2020,38377680,1,38459614
2020,38377745,1,38459680
2020,38377746,1,38459681
2020,41143183,1,41519386
2020,38377752,1,38459687
2020,38377758,1,38459694
2020,38377761,1,38459697
2020,38377762,1,38459698
2020,41142425,1,41518613
2020,38377847,1,38459784
2020,41144700,1,41522773
2020,41142434,1,41518622
2020,41144706,1,41522779
2020,41142455,1,41518643
2020,41142467,1,41518655
2020,41142512,1,41518702
2020,38382972,1,38454397
2020,38377945,1,38459883
2020,41142714,1,41518906
2020,38378012,1,38459949
2020,41142716,3,41518909
2020,38378047,1,38459989
2020,38378091,3,38460033
2020,38378090,3,38460032
2020,41142719,1,41518912
2020,41142718,1,41522938
2020,41144879,1,41522950
2020,41144881,8,41522951
2020,41142731,1,41518921
2020,41144982,1,41523054
2020,41145000,3,41523074
2020,38378183,1,38460128
2020,38378182,1,38460127
2020,38378181,1,38460126
2020,38378180,1,38460125
2020,41145018,1,41523087
2020,38378212,1,38460157
2020,41142845,3,41519045
2020,41142844,1,41519044
2020,41142852,1,41519053
2020,38378240,1,38460185
2020,41142872,1,41523164
2020,41145108,1,41523173
2020,41142882,1,41519079
2020,38378268,1,38460212
2020,41142902,3,41519096
2020,41145160,3,41523229
2020,41145193,1,41523260
2020,41143166,1,41519369
2020,38378345,3,38460290
2020,41142941,1,41519142
2020,38378404,1,38460349
2020,41145232,3,41523292
2020,41142954,1,41519158
2020,41142964,1,41519174
2020,41145279,1,41523332
2020,41142986,1,41519196
2020,38378462,1,38460409
2020,41142988,1,41519202
2020,41143004,3,41519216
2020,38378512,1,38460461
2020,38378541,1,38460490
2020,41145327,1,41523381
2020,38378546,1,38460495
2020,41145378,1,41523431
2020,38378555,1,38460504
2020,41145379,1,41523432
2020,38378569,1,38460517
2020,38378573,3,38460521
2020,38378574,3,38460522
2020,38383177,1,38454602
2020,38378660,1,38460604
2020,41143167,1,41519370
2020,38378726,1,38460671
2020,41145496,1,41523560
2020,38378741,1,38460687
2020,38378790,3,38460736
2020,41145500,1,41523563
2020,41143175,1,41519378
2020,38378807,1,38460754
2020,41143177,1,41519380
2020,41143186,1,41519389
2020,38378844,1,38460793
2020,41143187,1,41519390
2020,41145511,1,41519392
2020,38378954,1,38460905
2020,41143194,1,41519398
2020,38379053,1,38461006
2020,38379054,1,38461007
2020,38379055,1,38461008
2020,41145522,1,41523584
2020,41145534,1,41523596
2020,41145535,1,41523597
2020,38379098,1,38461051
2020,38379117,1,38461069
2020,41143215,1,41519420
2020,38379130,1,38461082
2020,41143236,1,41519440
2020,41145586,1,41523649
2020,41143247,1,41519450
2020,38379143,1,38461095
2020,41143252,3,41519457
2020,38379155,1,38461107
2020,38379160,1,38461112
2020,38379162,1,38461114
2020,41145603,1,41519462
2020,41143258,1,41519464
2020,38379186,1,38461139
2020,41143264,1,41523671
2020,41143266,1,41519470
2020,41143269,1,41519473
2020,41143270,1,41519474
2020,41143272,1,41523678
2020,38389855,7,38463597
2020,38386650,1,38463600
2020,38386705,1,38463654
2020,38389933,1,38463701
2020,38386760,1,38463710
2020,38386984,3,38463930
2020,38386994,1,38466471
2020,38387065,1,38464018
2020,38390094,1,38466524
2020,38387063,1,38464017
2020,38387136,1,38464090
2020,38387135,1,38464089
2020,38390135,1,38464109
2020,38387159,1,38464111
2020,38390187,1,38466628
2020,38387245,1,38464189
2020,39251375,1,39471831
2020,39260875,1,39481306
2020,39260840,1,39471806
2020,39251446,1,39471902
2020,39260942,1,39471933
2020,39251479,3,39471934
2020,39251489,1,39471949
2020,39251546,1,39472010
2020,39261156,1,39472209
2020,39251788,1,39481615
2020,39252152,1,39481923
2020,39252175,1,39472629
2020,39252376,1,39482084
2020,39252379,1,39472845
2020,39261783,1,39482208
2020,39261805,7,39482227
2020,39252584,1,39473053
2020,39252620,1,39473090
2020,39261959,3,39482380
2020,39261965,1,39473222
2020,39252784,1,39473251
2020,39252792,1,39473260
2020,39262070,1,39482486
2020,39262073,1,39482490
2020,39262088,1,39482504
2020,39262105,3,39482527
2020,39262104,3,39482526
2020,39252891,1,39482552
2020,39252896,1,39473358
2020,39252900,1,39473363
2020,39252911,1,39473376
2020,39262165,1,39473391
2020,39262192,1,39482616
2020,39252969,1,39473432
2020,39252970,1,39473433
2020,39262274,1,39482695
2020,39262301,1,39482723
2020,39253016,1,39473480
2020,39262314,1,39482737
2020,39253043,1,39473505
2020,39262356,1,39482784
2020,39262355,7,39482783
2020,39253061,1,39473520
2020,39253062,1,39473521
2020,39253069,1,39473529
2020,39253071,1,39473532
2020,39253088,1,39473549
2020,39253094,1,39473557
2020,39253117,1,39473586
2020,39253115,1,39473584
2020,39253116,1,39473585
2020,39253122,6,39473592
2020,39262477,1,39473600
2020,39262495,1,39473622
2020,39253164,1,39473636
2020,39262547,1,39482960
2020,39253189,3,39473666
2020,39262567,1,39482977
2020,39262589,1,39482998
