"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2020,21,162201777
2020,21,162206880
2020,21,162206895
2020,21,162201825
2020,21,162201869
2020,21,162201867
2020,21,162207183
2020,21,162201986
2020,21,162201982
2020,21,162202023
2020,21,162202057
2020,21,162202034
2020,21,162207426
2020,21,162207427
2020,21,162207460
2020,21,162207472
2020,21,162207807
2020,21,162202409
2020,21,162207748
2020,21,162202793
2020,21,162203028
2020,21,162203149
2020,21,162208528
2020,21,162203319
2020,21,162203426
2020,21,162208947
2020,21,162204095
2020,21,162204429
2020,21,162209754
2020,21,162204216
2020,21,162204231
2020,21,162209545
2020,21,162209761
2020,21,162209864
2020,21,162209910
2020,21,162209905
2020,21,162204709
2020,21,162210163
2020,21,162204870
2020,21,162210641
2020,21,162205253
2020,21,162210668
2020,21,162205277
2020,21,162205290
2020,21,162205304
2020,21,162211065
2020,21,162205708
2020,21,162211507
2020,21,162205810
2020,21,162205808
2020,21,162211161
2020,21,162211162
2020,21,162211605
2020,21,162211604
2020,21,162211635
2020,1,162211686
2020,21,162216516
2020,21,162212007
2020,21,162216711
2020,21,162212226
2020,21,162212345
2020,21,162212492
2020,21,162216979
2020,21,162216987
2020,21,162217079
2020,21,162212683
2020,21,162217459
2020,21,162217480
2020,21,162212942
2020,21,162213170
2020,21,162213036
2020,21,162213155
2020,21,162217799
2020,21,162213348
2020,21,162213387
2020,21,162213421
2020,21,162213427
2020,21,162213465
2020,21,162213734
2020,21,162218286
2020,21,162213790
2020,21,162213979
2020,21,162218561
2020,21,162218493
2020,21,162214097
2020,21,162218650
2020,21,162214215
2020,21,162214229
2020,21,162218742
2020,21,162218874
2020,21,162218968
2020,21,162219073
2020,21,162219174
2020,21,162214715
2020,21,162219476
2020,21,162214999
2020,21,162215017
2020,21,162215067
2020,21,162220335
2020,21,162215761
2020,21,162215818
2020,21,162220701
2020,21,162221268
2020,21,162220802
2020,21,162220887
2020,21,162221565
2020,21,162221001
2020,21,162221612
2020,21,162221169
2020,21,162221731
2020,21,162226228
2020,21,162221834
2020,21,162226327
2020,21,162226353
2020,21,162226456
2020,21,162226468
2020,21,162222404
2020,21,162223656
2020,21,162223815
2020,21,162224223
2020,21,162230437
2020,21,162230502
2020,21,162230973
2020,21,162231072
2020,21,161956596
2020,21,161956732
2020,21,161956733
2020,21,161961387
2020,21,161956881
2020,21,161956873
2020,21,161961309
2020,21,161957023
2020,21,161957024
2020,21,161961473
2020,21,161961468
2020,21,161957252
2020,21,161961564
2020,21,161961565
2020,21,161961587
2020,21,161961597
2020,21,161957392
2020,21,161957491
2020,21,161961835
2020,21,161957581
2020,21,161957585
2020,21,161957594
2020,21,161957729
2020,21,161957992
2020,21,161958024
2020,21,161957902
2020,21,161957938
2020,21,161958091
2020,21,161962234
2020,21,161962236
2020,21,161962246
